D2 B2 L R'
D2 B2 R' L
U2 L R' F2 U2
F2 L R' U2 F2
B2 L R' D2 B2
R' L F2 U2 F2
B2 L D2 R' B2
U2 L F2 R' U2
L R' F2 U2 F2
B2 R' L D2 B2
U2 R' L F2 U2
F2 R' L U2 F2
B2 R' D2 L B2
U2 R' F2 L U2
L' D2 B2 L R2
L' D2 B2 R2 L
R D2 B2 L2 R'
R D2 B2 R' L2
R' F2 L U2 F2
U2 F2 L R' U2
L F2 R' U2 F2
U2 F2 R' L U2
B2 D2 L R' B2
B2 D2 R' L B2
D2 B2 L R' D
D2 B2 L R' D'
D2 B2 L R' D2
D2 B2 L D R'
D2 B2 L D' R'
D2 B2 L D2 R'
D2 B2 R' L D
D2 B2 R' L D'
D2 B2 R' L D2
D2 B2 R' D L
D2 B2 R' D' L
D2 B2 R' D2 L
D2 B2 D L R'
D2 B2 D R' L
D2 B2 D' L R'
D2 B2 D' R' L
D2 B2 D2 L R'
D2 B2 D2 R' L
R' F2 L U2 L' F2 L
R' F2 L U2 L2 F2 L2
R' F2 L U2 R F2 R'
R' F2 L U2 R2 F2 R2
R' F2 L U2 F D F
R' F2 L U2 F D' F
R' F2 L U2 F D2 F
R' F2 L U2 F' D F'
R' F2 L U2 F' D' F'
R' F2 L U2 F' D2 F'
D2 F2 L U2 F2 B2 L
R' F2 L D U R2 U
D2 F2 L U2 B2 L F2
D2 F2 L U2 B2 F2 L
R' F2 L D' U' L2 U'
B2 D' U' L2 U L' R'
B2 D' U' L2 U R' L'
R' F2 L D2 B2 U2 D
R' F2 L D2 B2 U2 D'
R' F2 L D2 B2 U2 D2
R' F2 L D2 B2 D U2
R' F2 L D2 B2 D' U2
R' F2 L D2 B2 D2 U2
R' F2 L B U2 F2 D
R' F2 L B U2 F2 D'
R' F2 L B U2 F2 D2
U2 F2 L R U2 D2 L2
R' F2 L B D2 B2 U2
U2 F2 L R D2 U2 L2
R' F2 L B' U2 F2 D
R' F2 L B' U2 F2 D'
R' F2 L B' U2 F2 D2
R' F2 L B' D2 B2 U2
L2 F2 L R' U2 R2 F2
L2 F2 L R' U2 F2 R2
U2 F2 L R2 D R U2
U2 F2 L R2 D' R U2
R' F2 L B2 U2 F2 D
R' F2 L B2 U2 F2 D'
R' F2 L B2 U2 F2 D2
D2 F2 L B2 L F2 R
U2 F2 L R2 D2 R U2
R' F2 L B2 D2 B2 U2
U2 F2 L U' B2 U' L
U2 F2 L U2 B2 L B2
U2 F2 L D R' U2 D
U2 F2 L D R' U2 D'
U2 F2 L D R' U2 D2
U2 F2 L D R' D U2
U2 F2 L D R' D' U2
U2 F2 L D R' D2 U2
R2 F2 L R U2 L2 F2
R2 F2 L R U2 F2 L2
L' F2 L' R' U2 F2 R
U2 F2 L D' R' U2 D
U2 F2 L D' R' U2 D'
U2 F2 L D' R' U2 D2
U2 F2 L D' R' D U2
U2 F2 L D' R' D' U2
U2 F2 L D' R' D2 U2
R2 F2 L R' U2 L2 F2
R2 F2 L R' U2 F2 L2
R' F2 L' U2 F2 D2 R2
U2 F2 L D2 R' U2 D
U2 F2 L D2 R' U2 D'
U2 F2 L D2 R' U2 D2
U2 F2 L D2 R' D U2
U2 F2 L D2 R' D' U2
U2 F2 L D2 R' D2 U2
R2 F2 L R2 U2 L2 F2
R2 F2 L R2 U2 F2 L2
U2 F2 L F' R' F U2
R2 F2 L U2 L F2 L
R2 F2 L U2 L2 F2 D
R2 F2 L U2 L2 F2 D'
R2 F2 L U2 L2 F2 D2
U2 F2 L F2 R' F2 U2
R' F2 L' D2 B2 U2 R2
R2 F2 L U2 F' L2 F'
R2 F2 L U2 F2 L2 D
R2 F2 L U2 F2 L2 D'
R2 F2 L U2 F2 L2 D2
R' F2 L' B L2 U2 F2
R2 F2 L D2 R2 B2 U2
R2 F2 L D2 B2 R2 U2
R' F2 L' B' L2 U2 F2
U2 F2 L' R' U2 D2 R2
U2 F2 L' R' D2 U2 R2
L2 F2 L' R' U2 R2 F2
L2 F2 L' R' U2 F2 R2
R' F2 L' B2 L2 U2 F2
U F2 L R' U' L' U'
R2 F2 L B U2 L2 F2
R2 F2 L B U2 F2 L2
L F2 L R' U2 F2 R
R2 F2 L B' U2 L2 F2
R2 F2 L B' U2 F2 L2
R2 F2 L B2 U2 L2 F2
R2 F2 L B2 U2 F2 L2
L' F2 L2 R' U2 F2 D
L' F2 L2 R' U2 F2 D'
L' F2 L2 R' U2 F2 D2
L' F2 L2 R' D2 B2 U2
L' F2 L2 R' B U2 F2
R' F2 L2 U2 R F2 R
L' F2 L2 R' B' U2 F2
R' F2 L2 U2 R' F2 R
L' F2 L2 R' B2 U2 F2
R' F2 L2 U2 R2 F2 R
L' F2 L2 R2 U2 F2 L'
R' F2 L2 U2 F2 R D
R' F2 L2 U2 F2 R D'
R' F2 L2 U2 F2 R D2
R' F2 L2 U2 F2 D R
R' F2 L2 U2 F2 D' R
R' F2 L2 U2 F2 D2 R
U2 F2 L' D2 R' U2 R'
R F2 L R U2 F2 L'
R F2 L R2 U2 F2 D
R F2 L R2 U2 F2 D'
R F2 L R2 U2 F2 D2
R F2 L R2 D2 B2 U2
R' F2 L2 D2 L' B2 U2
R F2 L R2 B U2 F2
R F2 L R2 B' U2 F2
R F2 L R2 B2 U2 F2
R' F2 L2 D2 B2 L' U2
F' D' F D2 B2 L R'
F' D' F D2 B2 R' L
R F2 L U2 F2 D2 L2
L' F2 L2 D2 R' B2 U2
R' F2 L2 B L' U2 F2
F' D' F' L R' U2 F2
L' F2 L2 D2 B2 U2 L
R' F2 L2 B U2 F2 R
D2 F2 L2 F2 B2 L R
D2 F2 L2 F2 B2 R L
R' F2 L2 B' L' U2 F2
R' F2 L2 B' U2 F2 R
U2 F2 L2 R' D L' U2
U2 F2 L2 R' D' L' U2
U2 F2 L2 R' D2 L' U2
L2 F2 L2 R' U2 R2 F2
L2 F2 L2 R' U2 F2 R2
R' F2 L2 B2 L' U2 F2
R F2 L D2 B2 U2 L2
R' F2 L2 B2 U2 F2 R
D2 F2 L2 B2 F2 L R
D2 F2 L2 B2 F2 R L
R2 F2 L' F2 D2 R2 B2
R2 F2 L' F2 D2 B2 R2
F' D' F' R' L U2 F2
L' F2 L2 B2 U2 L F2
L' F2 L2 B2 U2 F2 L
R F2 L B R2 U2 F2
U2 F2 L2 D L' R' U2
U2 F2 L2 D R' L' U2
R F2 L B' R2 U2 F2
U2 F2 L2 D' L' R' U2
U2 F2 L2 D' R' L' U2
R F2 L B2 R2 U2 F2
U2 F2 L2 D2 L' R' U2
U2 F2 L2 D2 R' L' U2
F D' F L R' U2 F2
R2 F2 L2 U2 F2 L R
R2 F2 L2 U2 F2 R L
F D' F R' L U2 F2
U' F2 R' L U R U
U2 F2 R L U2 D2 L2
U2 F2 R L D2 U2 L2
R' F2 R' L U2 F2 L'
D2 F2 R' L U2 F2 B2
D2 F2 R' L U2 B2 F2
R2 F2 R L U2 L2 F2
R2 F2 R L U2 F2 L2
L' F2 R' L' U2 F2 R
L' F2 R' L2 U2 F2 D
L' F2 R' L2 U2 F2 D'
L' F2 R' L2 U2 F2 D2
L' F2 R' L2 D2 B2 U2
U2 F2 R D2 L U2 L
L' F2 R' L2 B U2 F2
L' F2 R' L2 B' U2 F2
L' F2 R' L2 B2 U2 F2
D2 F2 R' U2 F2 B2 R'
D2 F2 R' U2 B2 R' F2
D2 F2 R' U2 B2 F2 R'
R F2 L2 R2 U2 F2 R
L' F2 R' U2 F2 D2 R2
L2 F2 R F2 D2 L2 B2
L2 F2 R F2 D2 B2 L2
L' F2 R' D2 B2 U2 R2
L2 F2 R' L U2 R2 F2
L2 F2 R' L U2 F2 R2
U2 F2 R' L' U2 D2 R2
L2 F2 R' L' U2 R2 F2
L2 F2 R' L' U2 F2 R2
U2 F2 R' L' D2 U2 R2
L2 F2 R' L2 U2 R2 F2
L2 F2 R' L2 U2 F2 R2
U2 F2 R' L2 D L' U2
U2 F2 R' L2 D' L' U2
D2 F2 R' B2 R' F2 L'
U2 F2 R' L2 D2 L' U2
L' F2 R' B L2 U2 F2
L' F2 R' B' L2 U2 F2
U2 F2 R' U B2 U R'
L' F2 R' B2 L2 U2 F2
L2 F2 R' U2 R' F2 R'
L2 F2 R' U2 R2 F2 D
L2 F2 R' U2 R2 F2 D'
L2 F2 R' U2 R2 F2 D2
L2 F2 R' U2 F R2 F
L2 F2 R' U2 F2 R2 D
L2 F2 R' U2 F2 R2 D'
L2 F2 R' U2 F2 R2 D2
U2 F2 R' U2 B2 R' B2
U2 F2 R' D L U2 D
U2 F2 R' D L U2 D'
U2 F2 R' D L U2 D2
U2 F2 R' D L D U2
U2 F2 R' D L D' U2
U2 F2 R' D L D2 U2
F D' F' D2 B2 L R'
F D' F' D2 B2 R' L
R2 F2 R' L U2 L2 F2
R2 F2 R' L U2 F2 L2
U2 F2 R' D' L U2 D
U2 F2 R' D' L U2 D'
U2 F2 R' D' L U2 D2
U2 F2 R' D' L D U2
U2 F2 R' D' L D' U2
U2 F2 R' D' L D2 U2
L' F2 R2 L2 U2 F2 L'
U2 F2 R' D2 L U2 D
U2 F2 R' D2 L U2 D'
U2 F2 R' D2 L U2 D2
U2 F2 R' D2 L D U2
U2 F2 R' D2 L D' U2
U2 F2 R' D2 L D2 U2
L2 F2 R' D2 L2 B2 U2
R F2 R L U2 F2 L'
L2 F2 R' D2 B2 L2 U2
U2 F2 R' F L F' U2
L F2 R U2 F2 D2 L2
U2 F2 R' F2 L F2 U2
L F2 R D2 B2 U2 L2
L2 F2 R' B U2 R2 F2
L2 F2 R' B U2 F2 R2
L2 F2 R' B' U2 R2 F2
L2 F2 R' B' U2 F2 R2
L2 F2 R' B2 U2 R2 F2
L2 F2 R' B2 U2 F2 R2
D2 F2 R2 F2 B2 L' R'
D2 F2 R2 F2 B2 R' L'
U2 F2 R2 L D R U2
U2 F2 R2 L D' R U2
U2 F2 R2 L D2 R U2
L F2 R B R2 U2 F2
L F2 R B' R2 U2 F2
D2 F2 R2 B2 F2 L' R'
D2 F2 R2 B2 F2 R' L'
L F2 R B2 R2 U2 F2
U F2 R' L U' L' U'
L F2 R' L U2 F2 R
L2 F2 R2 U2 F2 L' R'
L2 F2 R2 U2 F2 R' L'
U2 F2 R2 D L R U2
U2 F2 R2 D R L U2
L F2 R' U R U F2
L F2 R' U R' U F2
R2 F2 R2 L U2 L2 F2
U2 F2 R2 D' L R U2
R2 F2 R2 L U2 F2 L2
L F2 R' U R2 U F2
L F2 R' U D R2 U
U2 F2 R2 D' R L U2
L F2 R' U' L U' F2
L F2 R' U' L' U' F2
L F2 R' U' L2 U' F2
U2 F2 R2 D2 L R U2
L F2 R' U' D' L2 U'
U2 F2 R2 D2 R L U2
L F2 R' U2 L' F2 L
L F2 R' U2 L2 F2 L2
L F2 R' U2 R F2 R'
L F2 R' U2 R2 F2 R2
L F2 R' U2 F D F
L F2 R' U2 F D' F
L F2 R' U2 F D2 F
L F2 R' U2 F' D F'
L F2 R' U2 F' D' F'
L F2 R' U2 F' D2 F'
L F2 R' D U R2 U
L F2 R' D' U' L2 U'
L F2 R' D2 B2 U2 D
L F2 R' D2 B2 U2 D'
L F2 R' D2 B2 U2 D2
L F2 R' D2 B2 D U2
L F2 R' D2 B2 D' U2
L F2 R' D2 B2 D2 U2
D2 F2 U F2 B2 L R'
D2 F2 U F2 B2 R' L
L F2 R' B U2 F2 D
L F2 R' B U2 F2 D'
L F2 R' B U2 F2 D2
L F2 R' B D2 B2 U2
R' F2 U B2 U R' F2
R' F2 U B2 U F2 R'
D2 F2 U B2 L R' F2
D2 F2 U B2 L F2 R'
D2 F2 U B2 R' L F2
L F2 R' B' U2 F2 D
L F2 R' B' U2 F2 D'
L F2 R' B' U2 F2 D2
D2 F2 U B2 R' F2 L
L F2 R' B' D2 B2 U2
D2 F2 U B2 F2 L R'
D2 F2 U B2 F2 R' L
L F2 R' B2 U2 F2 D
L F2 R' B2 U2 F2 D'
L F2 R' B2 U2 F2 D2
L F2 R' B2 D2 B2 U2
R' F2 U' L2 U' F2 R
L F2 R2 U2 L F2 L'
L F2 R2 U2 L' F2 L'
L F2 R2 U2 L2 F2 L'
R F2 R2 L U2 F2 D
R F2 R2 L U2 F2 D'
R F2 R2 L U2 F2 D2
L F2 R2 U2 F2 L' D
L F2 R2 U2 F2 L' D'
L F2 R2 U2 F2 L' D2
R F2 R2 L D2 B2 U2
L F2 R2 U2 F2 D L'
L F2 R2 U2 F2 D' L'
L F2 R2 U2 F2 D2 L'
R F2 R2 L B U2 F2
R F2 R2 L B' U2 F2
R F2 R2 L B2 U2 F2
R F2 R2 L2 U2 F2 R
L F2 R2 D2 R B2 U2
L F2 R2 D2 B2 R U2
B2 D' B2 D' B2 L R'
B2 D' B2 D' B2 R' L
U2 F2 U B2 U L R'
U2 F2 U B2 U R' L
D2 F2 U' F2 B2 L R'
D2 F2 U' F2 B2 R' L
L F2 R2 B R U2 F2
L F2 R2 B U2 F2 L'
R F2 R2 D2 L B2 U2
L F2 R2 B' R U2 F2
D2 F2 U' B2 L R' F2
D2 F2 U' B2 L F2 R'
L F2 R2 B' U2 F2 L'
D2 F2 U' B2 R' L F2
D2 F2 U' B2 R' F2 L
R F2 R2 D2 B2 U2 R'
L F2 R2 B2 R U2 F2
D2 F2 U' B2 F2 L R'
D2 F2 U' B2 F2 R' L
B2 D2 L R B' R2 B'
B2 D2 L R B2 R2 D
B2 D2 L R B2 R2 D'
B2 D2 L R B2 R2 D2
L F2 R2 B2 U2 F2 L'
B2 D2 L R' B D B
B2 D2 L R' B D' B
B2 D2 L R' B D2 B
B2 D2 L R' B' D B'
B2 D2 L R' B' D' B'
B2 D2 L R' B' D2 B'
B2 D2 L R2 B' R B'
R' F2 U2 L2 F2 L2 R
R' F2 U2 L2 F2 R L2
B2 D2 L R2 B2 R D
B2 D2 L R2 B2 R D'
B2 D2 L R2 B2 R D2
B2 D2 L R2 B2 D R
B2 D2 L R2 B2 D' R
B2 D2 L R2 B2 D2 R
F2 D2 L R B2 R2 U2
F2 D2 L R' U2 D2 F2
F2 D2 L R' D2 U2 F2
F2 D2 L R' B2 U2 D
F2 D2 L R' B2 U2 D'
F2 D2 L R' B2 U2 D2
F2 D2 L R' B2 D U2
F2 D2 L R' B2 D' U2
F2 D2 L R' B2 D2 U2
F2 D2 L R2 B2 R U2
B2 D2 L D R' D' B2
R F2 R2 B2 U2 R' F2
R F2 R2 B2 U2 F2 R'
L F2 U R2 U F2 L'
B2 D2 L D2 R' D2 B2
F2 D2 L D2 R' U2 F2
B2 D2 L F' R' F B2
B2 D2 L F' R' B2 F
R' F2 U2 F2 U2 L U2
B2 D2 L F2 R' F2 B2
B2 D2 L F2 R' B2 F2
R' F2 U2 F2 B2 R' B2
U2 F2 U' B2 U' L R'
U2 F2 U' B2 U' R' L
D2 F2 U2 F2 B2 L R'
D2 F2 U2 F2 B2 R' L
R' F2 U2 B2 R' F2 B2
R' F2 U2 B2 R' B2 F2
B2 D2 L B2 U2 L U2
R' F2 U2 B2 F2 R' B2
D2 F2 U2 B2 L R' F2
D2 F2 U2 B2 L F2 R'
R' F2 D L U R2 U
R' F2 D L U2 D' F2
D2 F2 U2 B2 R' L F2
D2 F2 U2 B2 R' F2 L
R' F2 D L D B2 U2
R' F2 D L D' U2 F2
D2 F2 U2 B2 F2 L R'
D2 F2 U2 B2 F2 R' L
B2 D2 L' R B2 L2 R2
B2 D2 L' R B2 R2 L2
F2 D2 L B2 R U2 L
F2 D2 L B2 R' U2 L
F2 D2 L B2 R2 U2 L
B2 D2 L' R' B L2 B
F2 D2 L B2 U2 L D
F2 D2 L B2 U2 L D'
F2 D2 L B2 U2 L D2
F2 D2 L B2 U2 D L
F2 D2 L B2 U2 D' L
F2 D2 L B2 U2 D2 L
B2 D2 L' R' B2 L2 D
B2 D2 L' R' B2 L2 D'
B2 D2 L' R' B2 L2 D2
F2 D2 L B2 D U2 L
F2 D2 L B2 D' U2 L
F2 D2 L B2 D2 U2 L
L2 F2 U2 R F2 D2 L2
B2 D2 L' R2 B2 L2 R
B2 D2 L' R2 B2 R L2
F2 D2 L' R' B2 L2 U2
L2 F2 U2 R2 F2 L' R'
L2 F2 U2 R2 F2 R' L'
R2 F2 U2 L' F2 D2 R2
R2 F2 U2 L2 F2 L R
R2 F2 U2 L2 F2 R L
U2 F2 U2 B2 L R' B2
U2 F2 U2 B2 R' L B2
U2 F2 D L R' U2 D
U2 F2 D L R' U2 D'
U2 F2 D L R' U2 D2
U2 F2 D L R' D U2
U2 F2 D L R' D' U2
U2 F2 D L R' D2 U2
U2 F2 D L D R' U2
U2 F2 D L D' R' U2
U2 F2 D L D2 R' U2
R' F2 D' L U' L U'
B2 D2 L2 R B2 L' R2
B2 D2 L2 R B2 R2 L'
L F2 U' B2 U' L F2
L F2 U' B2 U' F2 L
F2 D2 L' B2 L2 U2 L'
B2 D2 L2 R' B L' B
B2 D2 L2 R' B2 L' D
B2 D2 L2 R' B2 L' D'
B2 D2 L2 R' B2 L' D2
B2 D2 L2 R' B2 D L'
B2 D2 L2 R' B2 D' L'
B2 D2 L2 R' B2 D2 L'
U2 F2 D R' L U2 D
U2 F2 D R' L U2 D'
U2 F2 D R' L U2 D2
U2 F2 D R' L D U2
U2 F2 D R' L D' U2
U2 F2 D R' L D2 U2
U2 F2 D R' D L U2
B2 D2 L2 R2 B2 L' R
B2 D2 L2 R2 B2 R L'
U2 F2 D R' D' L U2
U2 F2 D R' D2 L U2
F2 D2 L2 R' B2 L' U2
L F2 U2 R2 F2 L' R2
L F2 U2 R2 F2 R2 L'
U2 F2 D' L R' U2 D
U2 F2 D' L R' U2 D'
U2 F2 D' L R' U2 D2
U2 F2 D' L R' D U2
U2 F2 D' L R' D' U2
U2 F2 D' L R' D2 U2
L F2 U2 F2 U2 R' U2
U2 F2 D' L D R' U2
U2 F2 D' L D' R' U2
U2 F2 D' L D2 R' U2
L F2 U2 F2 B2 L B2
B2 D2 L2 B2 L' D2 R2
R' F2 D2 L U2 D2 F2
R' F2 D2 L D2 U2 F2
L F2 U2 B2 L F2 B2
L F2 U2 B2 L B2 F2
R' F2 D2 L B2 U2 D
R' F2 D2 L B2 U2 D'
R' F2 D2 L B2 U2 D2
R' F2 D2 L B2 D U2
R' F2 D2 L B2 D' U2
R' F2 D2 L B2 D2 U2
B2 D2 R L B' R2 B'
B2 D2 R L B2 R2 D
B2 D2 R L B2 R2 D'
B2 D2 R L B2 R2 D2
F2 D2 L2 B2 L' U2 L2
L F2 U2 B2 F2 L B2
B2 D2 R L' B2 L2 R2
B2 D2 R L' B2 R2 L2
R' F2 D2 L' B2 L2 U2
U2 F2 D' R' L U2 D
U2 F2 D' R' L U2 D'
U2 F2 D' R' L U2 D2
U2 F2 D' R' L D U2
U2 F2 D' R' L D' U2
U2 F2 D' R' L D2 U2
U2 F2 D' R' D L U2
U2 F2 D' R' D' L U2
B2 D2 R L2 B2 L' R2
B2 D2 R L2 B2 R2 L'
U2 F2 D' R' D2 L U2
R' F2 D2 L2 B2 L' U2
F2 D2 R L B2 R2 U2
L F2 D R' U R' U
L' F2 D2 R' B2 L U2
U2 F2 D2 L R' U2 D
U2 F2 D2 L R' U2 D'
U2 F2 D2 L R' U2 D2
U2 F2 D2 L R' D U2
U2 F2 D2 L R' D' U2
U2 F2 D2 L R' D2 U2
U2 F2 D2 L D R' U2
U2 F2 D2 L D' R' U2
U2 F2 D2 L D2 R' U2
R' F2 D2 B2 L U2 R'
R' F2 D2 B2 L' U2 R'
R' F2 D2 B2 L2 U2 R'
R' F2 D2 B2 U2 R' D
R' F2 D2 B2 U2 R' D'
R' F2 D2 B2 U2 R' D2
R' F2 D2 B2 U2 D R'
R' F2 D2 B2 U2 D' R'
R' F2 D2 B2 U2 D2 R'
R' F2 D2 B2 D U2 R'
R' F2 D2 B2 D' U2 R'
R' F2 D2 B2 D2 U2 R'
B2 D2 R' L B D B
B2 D2 R' L B D' B
B2 D2 R' L B D2 B
B2 D2 R' L B' D B'
B2 D2 R' L B' D' B'
B2 D2 R' L B' D2 B'
B2 D2 R' L' B L2 B
B2 D2 R' L' B2 L2 D
B2 D2 R' L' B2 L2 D'
B2 D2 R' L' B2 L2 D2
F2 D2 R B2 R2 U2 R
U2 F2 D2 R' L U2 D
U2 F2 D2 R' L U2 D'
U2 F2 D2 R' L U2 D2
U2 F2 D2 R' L D U2
U2 F2 D2 R' L D' U2
U2 F2 D2 R' L D2 U2
U2 F2 D2 R' D L U2
B2 D2 R' L2 B L' B
U2 F2 D2 R' D' L U2
U2 F2 D2 R' D2 L U2
B2 D2 R' L2 B2 L' D
B2 D2 R' L2 B2 L' D'
B2 D2 R' L2 B2 L' D2
B2 D2 R' L2 B2 D L'
B2 D2 R' L2 B2 D' L'
B2 D2 R' L2 B2 D2 L'
F2 D2 R' L U2 D2 F2
F2 D2 R' L D2 U2 F2
L' F2 D2 B2 U2 L R2
L' F2 D2 B2 U2 R2 L
L2 F2 D2 R' B2 U2 R2
F2 D2 R' L B2 U2 D
F2 D2 R' L B2 U2 D'
F2 D2 R' L B2 U2 D2
F2 D2 R' L B2 D U2
F2 D2 R' L B2 D' U2
F2 D2 R' L B2 D2 U2
F2 D2 R' L' B2 L2 U2
F2 D2 R' L2 B2 L' U2
R2 F2 D2 L B2 U2 L2
L F2 D' R' U' L2 U'
L F2 D' R' U2 D F2
L F2 D' R' D U2 F2
L F2 D' R' D' B2 U2
B2 D2 R' D' L D B2
B2 D2 R' D2 L D2 B2
B2 D2 R' F L F' B2
B2 D2 R' F L B2 F'
F2 D2 R' D2 L U2 F2
B2 D2 R' F2 L F2 B2
B2 D2 R' F2 L B2 F2
L2 F2 D2 B2 U2 L R
L2 F2 D2 B2 U2 R L
B2 D2 R' B2 U2 R' U2
B2 D2 R2 L B' R B'
B2 D2 R2 L B2 R D
B2 D2 R2 L B2 R D'
B2 D2 R2 L B2 R D2
B2 D2 R2 L B2 D R
B2 D2 R2 L B2 D' R
B2 D2 R2 L B2 D2 R
F2 D2 R' B2 L U2 R'
F2 D2 R' B2 L' U2 R'
F2 D2 R' B2 L2 U2 R'
B2 D2 R2 L' B2 L2 R
B2 D2 R2 L' B2 R L2
F2 D2 R' B2 U2 R' D
F2 D2 R' B2 U2 R' D'
F2 D2 R' B2 U2 R' D2
F2 D2 R' B2 U2 D R'
F2 D2 R' B2 U2 D' R'
F2 D2 R' B2 U2 D2 R'
F2 D2 R' B2 D U2 R'
F2 D2 R' B2 D' U2 R'
F2 D2 R' B2 D2 U2 R'
B2 D2 R2 L2 B2 L' R
B2 D2 R2 L2 B2 R L'
F2 D2 R2 L B2 R U2
R2 F2 D2 B2 U2 L' R'
R2 F2 D2 B2 U2 R' L'
L F2 D2 R B2 R2 U2
R' F2 B' U2 F R F
L F2 D2 R' U2 D2 F2
L F2 D2 R' D2 U2 F2
L F2 D2 R' B2 U2 D
L F2 D2 R' B2 U2 D'
L F2 D2 R' B2 U2 D2
L F2 D2 R' B2 D U2
L F2 D2 R' B2 D' U2
L F2 D2 R' B2 D2 U2
L F2 D2 R2 B2 R U2
R F2 D2 L B2 R' U2
R' F2 B2 L U2 R' F2
R' F2 B2 L U2 F2 R'
D2 F2 B2 L R F2 R2
D2 F2 B2 L R' F2 D
D2 F2 B2 L R' F2 D'
D2 F2 B2 L R' F2 D2
R' F2 B2 L' U2 R' F2
R' F2 B2 L' U2 F2 R'
D2 F2 B2 L F R' F
D2 F2 B2 L F2 R' D
D2 F2 B2 L F2 R' D'
D2 F2 B2 L F2 R' D2
D2 F2 B2 L F2 D R'
D2 F2 B2 L F2 D' R'
D2 F2 B2 L F2 D2 R'
D2 F2 B2 L' R' F2 L2
R' F2 B2 L2 U2 R' F2
R' F2 B2 L2 U2 F2 R'
D2 F2 B2 L' F2 L2 R'
D2 F2 B2 L' F2 R' L2
D2 F2 B2 R L F2 R2
B2 D2 R2 B2 R D2 L2
D2 F2 B2 R F2 L R2
D2 F2 B2 R F2 R2 L
D2 F2 B2 R' L F2 D
D2 F2 B2 R' L F2 D'
D2 F2 B2 R' L F2 D2
D2 F2 B2 R' L' F2 L2
D2 F2 B2 R' F' L F'
D2 F2 B2 R' F2 L D
D2 F2 B2 R' F2 L D'
D2 F2 B2 R' F2 L D2
D2 F2 B2 R' F2 D L
D2 F2 B2 R' F2 D' L
D2 F2 B2 R' F2 D2 L
L' F2 B2 L2 U2 L' F2
L F2 D2 B2 R U2 L
L F2 D2 B2 R' U2 L
L F2 D2 B2 R2 U2 L
L F2 D2 B2 U2 L D
L F2 D2 B2 U2 L D'
L F2 D2 B2 U2 L D2
L F2 D2 B2 U2 D L
L F2 D2 B2 U2 D' L
L F2 D2 B2 U2 D2 L
F2 D2 R2 B2 R U2 R2
L F2 D2 B2 D U2 L
L F2 D2 B2 D' U2 L
L F2 D2 B2 D2 U2 L
R' F2 B2 U2 R F2 R2
R' F2 B2 U2 R' F2 D
R' F2 B2 U2 R' F2 D'
R' F2 B2 U2 R' F2 D2
R' F2 B2 U2 F R' F
R' F2 B2 U2 F2 R' D
R' F2 B2 U2 F2 R' D'
R' F2 B2 U2 F2 R' D2
R' F2 B2 U2 F2 D R'
R' F2 B2 U2 F2 D' R'
R' F2 B2 U2 F2 D2 R'
R' F2 B2 D2 B2 L U2
R F2 D2 B2 U2 L2 R'
R F2 D2 B2 U2 R' L2
L F2 B U2 F' L' F'
L2 F2 B2 U2 L R F2
L2 F2 B2 U2 R L F2
L2 F2 B2 U2 R F2 L
D2 B L B L R' D
D2 B L B L R' D'
D2 B L B L R' D2
D2 B L B L D R'
D2 B L B L D' R'
D2 B L B L D2 R'
D2 B L B R' L D
D2 B L B R' L D'
D2 B L B R' L D2
D2 B L B R' D L
D2 B L B R' D' L
D2 B L B R' D2 L
D2 B L B D L R'
D2 B L B D R' L
D2 B L B D' L R'
D2 B L B D' R' L
D2 B L B D2 L R'
D2 B L B D2 R' L
R2 F2 B2 U2 L' R' F2
R2 F2 B2 U2 L' F2 R'
R2 F2 B2 U2 R' L' F2
L F2 B2 R U2 L F2
L F2 B2 R U2 F2 L
L F2 B2 R' U2 L F2
L F2 B2 R' U2 F2 L
L F2 B2 R2 U2 L F2
L F2 B2 R2 U2 F2 L
D2 B L' B L R' D
D2 B L' B L R' D'
D2 B L' B L R' D2
D2 B L' B L D R'
D2 B L' B L D' R'
D2 B L' B L D2 R'
L F2 B2 U2 L F2 D
L F2 B2 U2 L F2 D'
L F2 B2 U2 L F2 D2
L F2 B2 U2 L' F2 L2
D2 B L' B R' L D
D2 B L' B R' L D'
D2 B L' B R' L D2
D2 B L' B R' D L
D2 B L' B R' D' L
D2 B L' B R' D2 L
D2 B L' B D L R'
D2 B L' B D R' L
D2 B L' B D' L R'
L F2 B2 U2 F' L F'
D2 B L' B D' R' L
D2 B L' B D2 L R'
D2 B L' B D2 R' L
L F2 B2 U2 F2 L D
L F2 B2 U2 F2 L D'
L F2 B2 U2 F2 L D2
L F2 B2 U2 F2 D L
L F2 B2 U2 F2 D' L
L F2 B2 U2 F2 D2 L
B2 D2 F L F' R' B2
R F2 B2 R2 U2 R F2
L F2 B2 D2 B2 R' U2
F' D2 F D2 B2 L R'
F' D2 F D2 B2 R' L
F' D2 F' L R' U2 F2
D2 B L2 B L R' D
D2 B L2 B L R' D'
D2 B L2 B L R' D2
D2 B L2 B L D R'
D2 B L2 B L D' R'
D2 B L2 B L D2 R'
D2 B L2 B R' L D
D2 B L2 B R' L D'
D2 B L2 B R' L D2
D2 B L2 B R' D L
D2 B L2 B R' D' L
D2 B L2 B R' D2 L
D2 B L2 B D L R'
D2 B L2 B D R' L
D2 B L2 B D' L R'
D2 B L2 B D' R' L
D2 B L2 B D2 L R'
